iter	Passed	Remaining
0	149	149217
1	150	74971
2	151	50335
3	152	37994
4	153	30542
5	154	25568
6	155	22011
7	155	19342
8	156	17269
9	157	15604
10	158	14242
11	159	13115
12	160	12153
13	160	11324
14	161	10609
15	162	9981
16	163	9427
17	164	8953
18	165	8521
19	165	8127
20	166	7770
21	167	7446
22	168	7154
23	169	6883
24	170	6631
25	170	6397
26	171	6183
27	172	5981
28	173	5794
29	173	5620
30	174	5457
31	175	5304
32	176	5160
33	177	5033
34	178	4913
35	179	4797
36	179	4683
37	180	4575
38	181	4472
39	182	4374
40	183	4281
41	183	4191
42	184	4106
43	185	4025
44	186	3947
45	186	3873
46	187	3801
47	188	3733
48	188	3667
49	189	3606
50	190	3546
51	191	3489
52	192	3436
53	193	3384
54	194	3334
55	194	3284
56	195	3235
57	196	3189
58	197	3145
59	198	3102
60	198	3059
61	199	3017
62	200	2977
63	200	2938
64	201	2900
65	202	2863
66	203	2829
67	203	2794
68	204	2761
69	205	2728
70	206	2696
71	206	2666
72	207	2636
73	208	2608
74	209	2580
75	209	2552
76	210	2525
77	211	2498
78	212	2473
79	212	2447
80	213	2423
81	214	2399
82	214	2372
83	215	2350
84	216	2327
85	217	2308
86	217	2287
87	218	2266
88	219	2246
89	220	2226
90	220	2207
91	221	2188
92	222	2172
93	223	2155
94	224	2138
95	225	2120
96	226	2104
97	226	2087
98	227	2070
99	228	2053
100	228	2037
101	229	2022
102	230	2007
103	231	1991
104	231	1977
105	232	1962
106	233	1948
107	234	1934
108	235	1921
109	235	1907
110	236	1894
111	237	1881
112	238	1869
113	238	1857
114	239	1844
115	240	1832
116	240	1818
117	241	1806
118	242	1795
119	243	1783
120	244	1773
121	244	1761
122	245	1751
123	246	1740
124	247	1730
125	248	1720
126	248	1709
127	249	1699
128	250	1690
129	251	1680
130	251	1671
131	252	1662
132	253	1654
133	254	1645
134	255	1637
135	256	1628
136	257	1621
137	258	1614
138	259	1606
139	260	1599
140	261	1591
141	261	1581
142	262	1573
143	263	1566
144	264	1558
145	265	1550
146	265	1543
147	266	1535
148	267	1527
149	268	1520
150	269	1513
151	270	1506
152	271	1501
153	272	1496
154	273	1491
155	274	1485
156	275	1478
157	276	1472
158	277	1465
159	277	1458
160	278	1450
161	279	1444
162	280	1438
163	280	1431
164	281	1425
165	282	1419
166	283	1413
167	284	1408
168	285	1402
169	286	1396
170	287	1391
171	288	1386
172	288	1381
173	289	1375
174	290	1370
175	291	1364
176	292	1359
177	293	1353
178	294	1348
179	294	1343
180	295	1337
181	296	1332
182	297	1327
183	298	1322
184	298	1317
185	300	1313
186	300	1308
187	301	1302
188	302	1297
189	303	1293
190	304	1288
191	305	1283
192	305	1279
193	306	1274
194	307	1269
195	308	1264
196	309	1259
197	309	1255
198	310	1250
199	311	1246
200	312	1241
201	313	1237
202	314	1233
203	315	1229
204	315	1225
205	316	1220
206	317	1216
207	318	1212
208	319	1207
209	319	1203
210	320	1199
211	321	1195
212	322	1190
213	323	1187
214	323	1182
215	324	1178
216	325	1174
217	326	1170
218	327	1166
219	328	1164
220	329	1160
221	330	1157
222	331	1153
223	331	1149
224	332	1146
225	333	1142
226	334	1138
227	335	1135
228	336	1131
229	336	1128
230	337	1124
231	338	1120
232	339	1117
233	340	1113
234	341	1110
235	341	1106
236	342	1103
237	343	1100
238	344	1097
239	345	1093
240	346	1090
241	346	1086
242	347	1083
243	348	1080
244	349	1076
245	350	1073
246	351	1070
247	351	1066
248	352	1063
249	353	1060
250	354	1056
251	355	1053
252	355	1050
253	356	1047
254	357	1044
255	358	1041
256	359	1039
257	360	1035
258	361	1032
259	361	1029
260	362	1026
261	363	1023
262	364	1020
263	365	1017
264	365	1014
265	366	1011
266	367	1008
267	368	1006
268	369	1003
269	370	1001
270	371	998
271	371	995
272	372	992
273	373	990
274	374	987
275	375	984
276	376	982
277	377	979
278	377	976
279	378	973
280	379	971
281	380	968
282	381	965
283	382	963
284	382	960
285	383	958
286	384	956
287	385	953
288	386	950
289	387	948
290	388	946
291	389	943
292	390	941
293	391	939
294	391	936
295	393	934
296	394	932
297	395	931
298	396	929
299	397	926
300	398	924
301	398	922
302	399	919
303	400	917
304	401	914
305	402	912
306	403	909
307	403	907
308	404	904
309	405	902
310	406	900
311	407	897
312	407	895
313	408	893
314	409	890
315	410	888
316	411	886
317	412	883
318	413	881
319	413	879
320	414	877
321	415	874
322	416	872
